id	user_id	name	display_name	function_group	description	endpoint_url	http_method	is_active	is_system_resource	required_api_keys	api_key_validation	query_template	result_transformer	fallback_data
func-openweather-current	system	get_current_weather	Get Current Weather	weather	Get current weather information for a specific location using OpenWeather API	https://api.openweathermap.org/data/2.5/weather	GET	1	1	["openWeatherApiKey"]	{"openWeatherApiKey": {"required": true, "description": "OpenWeather API key from openweathermap.org"}}	NULL	default	{"dt": 1560350645, "id": 420006353, "cod": 200, "sys": {"id": 5122, "type": 1, "sunset": 1560396563, "country": "US", "sunrise": 1560343627}, "base": "stations", "main": {"temp": 282.55, "humidity": 100, "pressure": 1023, "temp_max": 284.26, "temp_min": 280.37, "feels_like": 281.86}, "name": "Mountain View", "wind": {"deg": 350, "speed": 1.5}, "coord": {"lat": 37.39, "lon": -122.08}, "clouds": {"all": 1}, "weather": [{"id": 800, "icon": "01d", "main": "Clear", "description": "clear sky"}], "timezone": -25200, "_metadata": {"error": "OpenWeather API unavailable, showing mock data for Mountain View, CA", "source": "fallback"}, "visibility": 10000}
func-github-add-comment	system	github_add_comment	GitHub Add Comment	github	Add a comment to a GitHub issue or pull request. Perfect for AI agents to provide analysis, updates, or additional information to ongoing discussions.	https://api.github.com/repos/{owner}/{repo}/issues/{issue_number}/comments	POST	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token with repository write access and issues scope"}}	NULL	default	{"id": 987654321, "url": "https://api.github.com/repos/owner/repo/issues/comments/987654321", "body": "Comment added successfully but GitHub API is currently unavailable.", "html_url": "https://github.com/owner/repo/issues/123#issuecomment-987654321", "_metadata": {"error": "GitHub API unavailable - comment not posted", "source": "fallback"}, "created_at": "2025-01-30T15:45:00Z"}
func-github-analyze-repository	system	github_analyze_repository	GitHub Analyze Repository	github	Perform comprehensive analysis of a GitHub repository including metadata, statistics, languages used, and overall project insights. Use this first to understand a repository before diving into specific files or issues.	https://api.github.com/repos/{owner}/{repo}	GET	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token"}}	NULL	default	{"_metadata": {"error": "GitHub API unavailable", "source": "fallback", "analysis_time": "0ms"}, "code_analysis": {"languages": {"CSS": 25, "HTML": 15, "JavaScript": 60}, "structure": "Standard web application structure", "total_files": 25}, "repository_info": {"name": "sample-repo", "forks": 8, "stars": 42, "language": "JavaScript", "description": "A sample repository"}}
func-github-create-branch	system	github_create_branch	GitHub Create Branch	github	Create a new branch in a GitHub repository from an existing branch, tag, or commit. Useful for starting new features, bug fixes, or experiments.	https://api.github.com/repos/{owner}/{repo}/git/refs	POST	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token with repository write access"}}	NULL	default	{"ref": "refs/heads/feature/new-branch", "url": "https://api.github.com/repos/owner/repo/git/refs/heads/feature/new-branch", "object": {"sha": "fallback123456789", "type": "commit"}, "_metadata": {"error": "GitHub API unavailable - branch not created", "source": "fallback", "branch_created": false}}
func-github-create-update-file	system	github_create_update_file	GitHub Create/Update File	github	Create a new file or update an existing file in a GitHub repository. This automatically creates a commit with the changes. Perfect for AI agents to make code changes, documentation updates, or configuration modifications.	https://api.github.com/repos/{owner}/{repo}/contents/{path}	PUT	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token with repository write access and contents scope"}}	NULL	default	{"commit": {"sha": "fallbackcommit123", "author": {"name": "Fallback", "email": "fallback@example.com"}, "message": "Fallback commit - changes not applied"}, "content": {"sha": "fallback123456789", "url": "https://api.github.com/repos/owner/repo/contents/file.txt", "name": "file.txt", "path": "file.txt"}, "_metadata": {"error": "GitHub API unavailable - file not updated", "source": "fallback", "operation": "simulated"}}
func-github-read-code	system	github_read_code	GitHub Read Code	github	Read files and directory contents from a GitHub repository. IMPORTANT: Start by exploring the repository structure with path="" (empty) to see available directories and files, then navigate to specific paths. Use this to access README files, source code, configuration files, or explore directory structures. Always check directory contents before trying to read specific files.	https://api.github.com/repos/{owner}/{repo}/contents/{path}	GET	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token"}}	NULL	default	{"sha": "abc123", "name": "README.md", "path": "README.md", "size": 1024, "type": "file", "content": "IyBTYW1wbGUgUmVhZG1l", "encoding": "base64", "_metadata": {"error": "GitHub API unavailable", "source": "fallback"}}
func-github-read-issues	system	github_read_issues	GitHub Read Issues	github	Read and analyze issues from a GitHub repository. Use this to understand bugs, feature requests, development tasks, and project status. Great for getting insights into project challenges and roadmaps.	https://api.github.com/repos/{owner}/{repo}/issues	GET	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token"}}	NULL	default	{"issues": [{"id": 0, "body": "GitHub API is currently unavailable. This is mock fallback data.", "error": "API_UNAVAILABLE", "state": "open", "title": "Unable to fetch issues - GitHub API unavailable", "number": 0}], "status": "fallback", "message": "GitHub API unavailable, showing mock data", "total_count": 0}
func-github-update-issue	system	github_update_issue	GitHub Update Issue	github	Update a GitHub issue with additional analysis, insights, or findings. Perfect for AI agents to enhance issues with code analysis, related information, or progress updates after examining the codebase.	https://api.github.com/repos/{owner}/{repo}/issues/{issue_number}	PATCH	1	1	["githubApiKey"]	{"githubApiKey": {"required": true, "description": "GitHub API token with repository write access and issues scope"}}	NULL	default	{"id": 123, "body": "Issue has been updated with analysis findings.", "state": "open", "title": "Issue Updated Successfully", "number": 123, "html_url": "https://github.com/owner/repo/issues/123", "_metadata": {"error": "GitHub API unavailable - update not applied", "source": "fallback", "update_type": "simulated"}, "updated_at": "2025-01-30T15:30:00Z"}
func-neo4j-lookup	system	neo4j_node_lookup	Neo4j Node Lookup	database	Look up nodes in a Neo4j graph database by label and properties	neo4j://localhost:7687	CYPHER	1	1	["neo4jUrl", "neo4jUsername", "neo4jPassword"]	{"neo4jUrl": {"required": true, "description": "Neo4j database URL"}, "neo4jPassword": {"required": true, "description": "Neo4j password"}, "neo4jUsername": {"required": true, "description": "Neo4j username"}}	NULL	default	{"nodes": [{"id": "mock_node_1", "labels": ["MockNode"], "properties": {"name": "Sample Node", "category": "Mock Data"}}], "summary": {"source": "fallback", "totalNodes": 1, "executionTime": "0ms"}}
func-neo4j-normalize-attributes	system	normalize_attributes	Normalize Node Attributes	database	Standardize and normalize attributes from any Neo4j node type. Takes raw values like "software engineering" and "Software Engineering" and maps them to a standardized form. Useful for creating consistent category mappings and data analysis.	neo4j://localhost:7687	CYPHER	1	1	["neo4jUrl", "neo4jUsername", "neo4jPassword"]	{"neo4jUrl": {"required": true, "description": "Neo4j database URL"}, "neo4jPassword": {"required": true, "description": "Neo4j password"}, "neo4jUsername": {"required": true, "description": "Neo4j username"}}	NULL	default	{"summary": {"processing_time": "0ms", "consolidation_ratio": 1.0, "total_original_values": 1, "total_normalized_values": 1}, "_metadata": {"error": "Neo4j connection unavailable", "source": "fallback"}, "normalized_values": [{"original": "sample category", "frequency": 1, "normalized": "Sample Category"}]}
func-neo4j-query-graph	system	query_graph	Query Neo4j Graph Database	database	Execute custom Cypher queries against a Neo4j graph database. Find nodes, relationships, and paths with full Cypher query support. Perfect for complex graph analysis and relationship discovery.	neo4j://localhost:7687	CYPHER	1	1	["neo4jUrl", "neo4jUsername", "neo4jPassword"]	{"neo4jUrl": {"required": true, "description": "Neo4j database URL"}, "neo4jPassword": {"required": true, "description": "Neo4j password"}, "neo4jUsername": {"required": true, "description": "Neo4j username"}}	NULL	default	{"nodes": [{"id": "mock_node", "labels": ["MockNode"], "properties": {"name": "Sample Node", "category": "Fallback Data"}}], "summary": {"query": "Mock query execution", "totalNodes": 1, "executionTime": "0ms", "totalRelationships": 0}, "_metadata": {"error": "Neo4j connection unavailable", "source": "fallback"}, "relationships": []}
